avf;avl;avr;i;ii;iii;v1;v2;v3;v4;v5;v6
3.683;1.127;-0.559;-2.539;1.598;0.275;-3.15;-3.337;-3.706;-4.422;1.49;6.343
3.739;1.186;-0.556;-2.598;1.624;0.307;-3.16;-3.343;-3.755;-4.428;1.493;6.366
3.765;1.242;-0.526;-2.637;1.624;0.35;-3.199;-3.386;-3.859;-4.477;1.474;6.346
3.752;1.327;-0.428;-2.673;1.569;0.441;-3.206;-3.392;-3.941;-4.493;1.487;6.359
3.729;1.412;-0.32;-2.706;1.503;0.536;-3.219;-3.399;-4.069;-4.51;1.461;6.356
3.784;1.624;-0.163;-2.84;1.451;0.722;-3.307;-3.454;-4.141;-4.565;1.399;6.284
3.791;1.807;0.013;-2.935;1.366;0.902;-3.402;-3.503;-4.154;-4.601;1.389;6.261
3.807;1.768;-0.042;-2.922;1.402;0.853;-3.418;-3.461;-4.046;-4.546;1.435;6.307
3.941;1.739;-0.206;-2.974;1.552;0.758;-3.402;-3.35;-3.892;-4.415;1.51;6.359
3.964;1.634;-0.333;-2.935;1.627;0.641;-3.373;-3.222;-3.693;-4.265;1.627;6.444
3.938;1.542;-0.399;-2.876;1.647;0.562;-3.33;-3.095;-3.52;-4.131;1.667;6.471
4;1.536;-0.467;-2.902;1.712;0.526;-3.32;-3.049;-3.451;-4.095;1.686;6.474
3.899;1.35;-0.552;-2.758;1.703;0.389;-3.245;-2.984;-3.356;-4.029;1.788;6.549
3.882;1.176;-0.709;-2.663;1.775;0.225;-3.186;-2.961;-3.304;-3.987;1.824;6.572
3.866;1.036;-0.833;-2.585;1.827;0.092;-3.134;-2.951;-3.281;-3.961;1.837;6.588
3.791;0.948;-0.846;-2.503;1.797;0.042;-3.065;-2.944;-3.265;-3.977;1.856;6.608
3.84;0.879;-0.964;-2.493;1.879;-0.052;-3.059;-2.987;-3.314;-4.016;1.827;6.585
3.752;0.761;-0.993;-2.392;1.85;-0.124;-3.016;-3.003;-3.337;-4.056;1.84;6.618
3.739;0.67;-1.072;-2.34;1.882;-0.209;-2.961;-3;-3.359;-4.062;1.807;6.582
3.69;0.556;-1.137;-2.258;1.892;-0.301;-2.948;-3.033;-3.402;-4.056;1.771;6.578
